id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1505251866350862338,1505251866350862338,2022-03-19 13:36:25 CDT,2022-03-19,13:36:25,-0500,1280478731874848769,nathaliejacoby1,Nathalie Jacoby,,"My husband wants us to go out to dinner with his friend and his wife, who are both anti-vaxxers.   I told him I am not comfortable doing that because they did not get the Covid vaccine.   Do YOU feel comfortable being around people you know who have NOT been vaccinated?",en,[],[],[],23794,1297,20403,[],[],https://twitter.com/nathaliejacoby1/status/1505251866350862338,False,,0,,,,,,,,[],,,,
1505213038584082435,1505213038584082435,2022-03-19 11:02:08 CDT,2022-03-19,11:02:08,-0500,49698134,joyannreid,Joy-Ann (Pro-Democracy) Reid 😷,,"If you genuinely think the most important stories out there right now are Hunter Biden’s laptop and whatever the hell is on it and a handful of truckers wasting $5-a-gallon gas driving in circles because something something mask mandates and vaccines, I seriously suggest therapy.",en,[],[],[],1380,3562,27969,[],[],https://twitter.com/JoyAnnReid/status/1505213038584082435,False,,0,,,,,,,,[],,,,
1505065685969686528,1505065685969686528,2022-03-19 01:16:36 CDT,2022-03-19,01:16:36,-0500,1002193709092384768,cucumberchanel,🔻 #FreeHimamaylan3,,"I asked one of my lola’s maids why she still wasn’t vaccinated. This was her reply (translated from Bisaya):  “We all work on daily wages. If we experience side effects or get sick because of the vaccine, we lose potential paydays.”",en,[],[],[],10,1001,9622,[],[],https://twitter.com/cucumberchanel/status/1505065685969686528,False,,0,,,,,,,,[],,,,
1504927048158040071,1504927048158040071,2022-03-18 16:05:43 CDT,2022-03-18,16:05:43,-0500,29442313,sensanders,Bernie Sanders,,Corporate greed is Moderna giving its CEO a $923 million golden parachute &amp; handing out $360 million in stock options to 2 top executives after receiving $2.5 billion from U.S. taxpayers to develop its COVID vaccine &amp; refusing to share it with the world. We must end this greed.,en,[],[],[],1666,9337,42323,[],[],https://twitter.com/SenSanders/status/1504927048158040071,False,,0,,,,,,,,[],,,,
1504926576764506119,1504926576764506119,2022-03-18 16:03:50 CDT,2022-03-18,16:03:50,-0500,225265639,ddale8,Daniel Dale,,"Marjorie Taylor Greene: ""I have never seen the CDC coming out saying, ‘Oh you've gotta get your second polio shot, you gotta get your third, you gotta get your fourth.’""  CDC website: “CDC recommends that children get four doses of polio vaccine.""  https://t.co/AU8on8bwJc",en,[],['https://www.reuters.com/article/factcheck-polio-cdc-vaccines/fact-check-the-cdc-does-recommend-four-doses-for-the-childhood-polio-vaccine-idUSL2N2VL1R4'],[],591,2524,13567,[],[],https://twitter.com/ddale8/status/1504926576764506119,False,,0,,,,,,,,[],,,,
1504859847854067734,1504859847854067734,2022-03-18 11:38:41 CDT,2022-03-18,11:38:41,-0500,152656121,mrjamesob,James Oh Brien,,"Rees-Mogg misled the Queen about the unlawful proroguing of Parliament, dismissed Brexit's betrayal of the fishing industry by wittering about 'British' fish being 'happier', led the abortive Owen Paterson rescue attempt &amp; continues to lie about vaccines. He's fluff personified.",en,[],[],[],588,4398,22627,[],[],https://twitter.com/mrjamesob/status/1504859847854067734,False,,0,,,,,,,,[],,,,
1504846213111234613,1504846213111234613,2022-03-18 10:44:30 CDT,2022-03-18,10:44:30,-0500,1267866658586136577,marcus4georgia,Marcus Flowers,,"Let me be clear: Vaccines work, and Marjorie Taylor Greene does not.",en,[],[],[],1770,5639,50896,[],[],https://twitter.com/Marcus4Georgia/status/1504846213111234613,False,,0,,,,,,,,[],,,,
1504804998953246753,1504804998953246753,2022-03-18 08:00:44 CDT,2022-03-18,08:00:44,-0500,247368688,blueboxdave,David Marcus,,It’s not Hunter’s laptop Lia Thomas is a woman Border agents whipped migrants Gas prices are Putin’s fault Inflation is temporary Vaccines prevent infection,en,[],[],[],930,2829,16049,[],[],https://twitter.com/BlueBoxDave/status/1504804998953246753,False,,0,,,,,,,,[],,,,
1504704999959396352,1504704999959396352,2022-03-18 01:23:22 CDT,2022-03-18,01:23:22,-0500,1243608074184605697,drjackskywatch1,MrSkyWatcher,,"Over 1,135,000 COVID vaccine injuries reported to VAERS including: 24,400 deaths 27,800 life-threatening events 34,500 myocarditis/pericarditis 40,000 severe allergic reactions 44,500 permanently disabled 120,00 urgent care visits 133,000 hospitalizations 176,000 Dr office visits",en,[],[],[],438,6493,9880,[],[],https://twitter.com/DrJackSKYWATCH1/status/1504704999959396352,False,,0,,,,,,,,[],,,,
1504634324565602320,1504634324565602320,2022-03-17 20:42:32 CDT,2022-03-17,20:42:32,-0500,713752653289955329,jdcocchiarella,Jack Cocchiarella,,Who else will 100% be getting a 4th COIVD vaccine when it’s available?,en,[],[],[],5089,3698,83693,[],[],https://twitter.com/JDCocchiarella/status/1504634324565602320,False,,0,,,,,,,,[],,,,
1504633741364371460,1504633741364371460,2022-03-17 20:40:13 CDT,2022-03-17,20:40:13,-0500,32871086,kylegriffin1,Kyle Griffin,,"WASHINGTON (AP) — Moderna seeks FDA authorization for 4th dose of COVID-19 vaccine for all adults, broader than Pfizer request.",en,[],[],[],201,1640,9638,[],[],https://twitter.com/kylegriffin1/status/1504633741364371460,False,,0,,,,,,,,[],,,,
1504624449517150216,1504624449517150216,2022-03-17 20:03:17 CDT,2022-03-17,20:03:17,-0500,15801906,tristansnell,Tristan Snell,,"Marjorie Taylor Greene just said, on the House floor, that the CDC doesn’t advise multiple vaccine doses for polio.   In fact, the CDC recommends 4 doses of the polio vaccine for young children.",en,[],[],[],513,2237,12783,[],[],https://twitter.com/TristanSnell/status/1504624449517150216,False,,0,,,,,,,,[],,,,
1504593186802606081,1504593186802606081,2022-03-17 17:59:04 CDT,2022-03-17,17:59:04,-0500,1268223690480615424,noliewithbtc,No Lie with Brian Tyler Cohen,,"JUST IN: Marjorie Taylor Greene just went on the House floor to attack COVID vaccines by claiming she has “never seen the CDC” recommend a 2nd and 3rd shot for polio. Actually, the CDC recommends FOUR doses of the polio vaccine — at 2 months, 4 months, 6-18 months, and 4-6 years.",en,[],[],[],5993,24498,151976,[],[],https://twitter.com/NoLieWithBTC/status/1504593186802606081,False,,0,,,,,,,,[],,,,
1504248589567942659,1504248589567942659,2022-03-16 19:09:45 CDT,2022-03-16,19:09:45,-0500,1437888325579247616,captaincadets,🇨🇦Captain🇨🇦,,BREAKING!!! Everything but the vaccine has been linked to heart attack and stroke!,en,[],[],[],193,2658,10532,[],[],https://twitter.com/Captaincadets/status/1504248589567942659,False,,0,,,,,,,,[],,,,
1504220528265027592,1504220528265027592,2022-03-16 17:18:15 CDT,2022-03-16,17:18:15,-0500,25913049,armanddoma,Armand Domalewski,,"Putin's array of yes men convincing him his military was far more capable than it actually was and Xi's propaganda campaign against Western mRNA vaccines forcing him to rely on COVID Zero are powerful reminders that, as messy as it can be, an open democratic discourse is superior",en,[],[],[],265,3398,22637,[],[],https://twitter.com/ArmandDoma/status/1504220528265027592,False,,0,,,,,,,,[],,,,
1504200930530578438,1504200930530578438,2022-03-16 16:00:23 CDT,2022-03-16,16:00:23,-0500,4765364386,chuckcallesto,Chuck Callesto,,"BREAKING REPORT: Trucker Convoy HITS DC HIGHWAYS, won't leave until DEMAND TO END FEDERAL VACCINE mandates are met..",en,[],[],[],175,2858,10614,[],[],https://twitter.com/ChuckCallesto/status/1504200930530578438,False,,0,,,,,,,,[],,,,
1504190096748199940,1504190096748199940,2022-03-16 15:17:20 CDT,2022-03-16,15:17:20,-0500,1190453118,rowanneeeles,Ro,,"For anyone who thinks they are ‘immune’ to covid, I’ve had it 3 times, have both natural+vaccine antibodies on my SIREN study blood tests+am triple vaxxed. Only 6 weeks between 2nd+3rd infections 😵‍💫🦠 😷@trishgreenhalgh @devisridhar @DrEricDing @chrischirp @timspector #covid",en,"[{'screen_name': 'trishgreenhalgh', 'name': 'trisha greenhalgh #istandwithukraine 🇺🇦', 'id': '462021312'}, {'screen_name': 'devisridhar', 'name': 'prof. devi sridhar', 'id': '174151902'}, {'screen_name': 'drericding', 'name': 'eric feigl-ding', 'id': '18831926'}, {'screen_name': 'chrischirp', 'name': 'prof. christina pagel 🇺🇦', 'id': '84035041'}, {'screen_name': 'timspector', 'name': 'tim spector md (prof)', 'id': '143629076'}]",[],[],521,3188,10081,['covid'],[],https://twitter.com/RowanneEeles/status/1504190096748199940,False,,0,,,,,,,,[],,,,
1504172383908868101,1504172383908868101,2022-03-16 14:06:57 CDT,2022-03-16,14:06:57,-0500,2382229472,michaelpbreton,michael breton,,"Oh, my. 1 hour ago.  Ukraine just silently announced it’s the first country to implement the WEF's ‘Great Reset’ by setting up a Social Credit Application combining Universal Basic Income (UBI), a Digital Identity &amp; a Vaccine Passport all within their Diia app.",en,[],[],[],2397,13614,24537,[],[],https://twitter.com/michaelpbreton/status/1504172383908868101,False,,0,,,,,,,,[],,,,
1503949505699336197,1503949505699336197,2022-03-15 23:21:18 CDT,2022-03-15,23:21:18,-0500,18839785,narendramodi,Narendra Modi,,"Today is an important day in India’s efforts to vaccinate our citizens. Now onwards, youngsters in the 12-14 age group are eligible for vaccines and all those above 60 are eligible for precaution doses. I urge people in these age groups to get vaccinated.",en,[],[],[],1052,9193,49228,[],[],https://twitter.com/narendramodi/status/1503949505699336197,False,,0,,,,,,,,[],,,,
